#247
#17743
# what-if time: 170.0434639453888
# cost_requests: 2940384	cache_hits: 2920875
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99;

param a :=
1 16326656 # ['c_birth_country']
2 13058048 # ['c_birth_day']
3 13058048 # ['c_birth_month']
4 13058048 # ['c_birth_year']
5 13058048 # ['c_current_addr_sk']
6 13058048 # ['c_current_cdemo_sk']
7 13058048 # ['c_current_hdemo_sk']
8 21553152 # ['c_customer_id']
9 13058048 # ['c_customer_sk']
10 43761664 # ['c_email_address']
11 24166400 # ['c_first_name']
12 13058048 # ['c_first_sales_date_sk']
13 13058048 # ['c_first_shipto_date_sk']
14 30695424 # ['c_last_name']
15 13058048 # ['c_last_review_date_sk']
16 10444800 # ['c_login']
17 11755520 # ['c_preferred_cust_flag']
18 17629184 # ['c_salutation']
19 6529024 # ['ca_address_sk']
20 8159232 # ['ca_city']
21 9797632 # ['ca_country']
22 9797632 # ['ca_county']
23 6856704 # ['ca_gmt_offset']
24 12083200 # ['ca_location_type']
25 6201344 # ['ca_state']
26 8159232 # ['ca_street_name']
27 8814592 # ['ca_street_number']
28 10444800 # ['ca_street_type']
29 8814592 # ['ca_suite_number']
30 8814592 # ['ca_zip']
31 8192 # ['cc_call_center_id']
32 8192 # ['cc_call_center_sk']
33 8192 # ['cc_county']
34 8192 # ['cc_manager']
35 8192 # ['cc_name']
36 67747840 # ['cd_credit_rating']
37 50184192 # ['cd_demo_sk']
38 50184192 # ['cd_dep_college_count']
39 50184192 # ['cd_dep_count']
40 50184192 # ['cd_dep_employed_count']
41 92839936 # ['cd_education_status']
42 45162496 # ['cd_gender']
43 45162496 # ['cd_marital_status']
44 50184192 # ['cd_purchase_estimate']
45 516096 # ['cp_catalog_page_id']
46 311296 # ['cp_catalog_page_sk']
47 37609472 # ['cr_call_center_sk']
48 37609472 # ['cr_catalog_page_sk']
49 37609472 # ['cr_item_sk']
