#1615
#1615
# what-if time: 247.49099230766296
# cost_requests: 394317	cache_hits: 342140
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99;

param a :=
1 13058048 # ['c_current_addr_sk']
2 13058048 # ['c_current_cdemo_sk']
3 21553152 # ['c_customer_id']
4 13058048 # ['c_customer_sk']
5 6529024 # ['ca_address_sk']
6 8159232 # ['ca_city']
7 9797632 # ['ca_county']
8 6856704 # ['ca_gmt_offset']
9 6201344 # ['ca_state']
10 8814592 # ['ca_zip']
11 8192 # ['cc_call_center_sk']
12 50184192 # ['cd_demo_sk']
13 92839936 # ['cd_education_status']
14 45162496 # ['cd_marital_status']
15 311296 # ['cp_catalog_page_sk']
16 37609472 # ['cr_item_sk']
17 37609472 # ['cr_order_number']
18 41377792 # ['cr_return_amount']
19 37609472 # ['cr_returned_date_sk']
20 37609472 # ['cr_returning_customer_sk']
21 376266752 # ['cs_bill_customer_sk']
22 376266752 # ['cs_item_sk']
23 376266752 # ['cs_order_number']
24 376266752 # ['cs_ship_customer_sk']
25 376266752 # ['cs_ship_date_sk']
26 376266752 # ['cs_sold_date_sk']
27 1900544 # ['d_date']
28 1900544 # ['d_date_sk']
29 1900544 # ['d_dom']
30 1900544 # ['d_dow']
31 1900544 # ['d_month_seq']
32 1900544 # ['d_moy']
33 1900544 # ['d_qoy']
34 2187264 # ['d_quarter_name']
35 1900544 # ['d_week_seq']
36 1900544 # ['d_year']
37 294912 # ['hd_buy_potential']
38 180224 # ['hd_demo_sk']
39 180224 # ['hd_dep_count']
40 8921088 # ['i_brand']
41 8921088 # ['i_category']
42 8921088 # ['i_class']
43 4923392 # ['i_color']
44 2924544 # ['i_current_price']
45 4390912 # ['i_item_id']
46 2662400 # ['i_item_sk']
47 2662400 # ['i_manager_id']
48 8921088 # ['i_manufact']
49 2662400 # ['i_manufact_id']
50 8921088 # ['i_product_name']
51 3596288 # ['i_units']
52 8192 # ['ib_income_band_sk']
53 3477839872 # ['inv_date_sk']
54 3477839872 # ['inv_item_sk']
55 8192 # ['p_promo_sk']
56 8192 # ['r_reason_sk']
57 8192 # ['s_gmt_offset']
58 8192 # ['s_store_name']
59 8192 # ['s_store_sk']
60 75128832 # ['sr_cdemo_sk']
61 75128832 # ['sr_customer_sk']
62 75128832 # ['sr_item_sk']
63 75128832 # ['sr_reason_sk']
64 82640896 # ['sr_return_amt']
65 75128832 # ['sr_returned_date_sk']
66 75128832 # ['sr_ticket_number']
67 752541696 # ['ss_customer_sk']
68 752541696 # ['ss_item_sk']
69 752541696 # ['ss_quantity']
70 752541696 # ['ss_sold_date_sk']
71 752541696 # ['ss_ticket_number']
72 2252800 # ['t_hour']
73 2252800 # ['t_time']
74 2252800 # ['t_time_sk']
75 8192 # ['w_state']
76 8192 # ['w_warehouse_name']
77 8192 # ['web_site_sk']
