#53
#870
# what-if time: 2.3870980739593506
# cost_requests: 31504	cache_hits: 29997
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 82296832 # ['c_address']
3 174399488 # ['c_comment']
4 39190528 # ['c_custkey']
5 52903936 # ['c_mktsegment']
6 68583424 # ['c_name']
7 39190528 # ['c_nationkey']
8 62701568 # ['c_phone']
9 1567539200 # ['l_commitdate']
10 1567539200 # ['l_discount']
11 1881047040 # ['l_extendedprice']
12 1410785280 # ['l_linestatus']
13 1567539200 # ['l_orderkey']
14 1567539200 # ['l_partkey']
15 1645920256 # ['l_quantity']
16 1567539200 # ['l_receiptdate']
17 1410785280 # ['l_returnflag']
18 1567539200 # ['l_shipdate']
19 3291840512 # ['l_shipinstruct']
20 2116182016 # ['l_shipmode']
21 1567539200 # ['l_suppkey']
22 1567539200 # ['l_tax']
23 8192 # ['n_name']
24 8192 # ['n_nationkey']
25 8192 # ['n_regionkey']
26 1273774080 # ['o_comment']
27 391929856 # ['o_custkey']
28 391929856 # ['o_orderdate']
29 391929856 # ['o_orderkey']
30 627089408 # ['o_orderpriority']
31 352731136 # ['o_orderstatus']
32 391929856 # ['o_shippriority']
33 470310912 # ['o_totalprice']
34 70541312 # ['p_brand']
35 70541312 # ['p_container']
36 109731840 # ['p_mfgr']
37 128024576 # ['p_name']
38 52248576 # ['p_partkey']
39 52248576 # ['p_size']
40 96665600 # ['p_type']
41 209002496 # ['ps_availqty']
42 209002496 # ['ps_partkey']
43 209002496 # ['ps_suppkey']
44 229900288 # ['ps_supplycost']
45 8192 # ['r_name']
46 8192 # ['r_regionkey']
47 2867200 # ['s_acctbal']
48 5480448 # ['s_address']
49 10313728 # ['s_comment']
50 5480448 # ['s_name']
51 2605056 # ['s_nationkey']
52 4177920 # ['s_phone']
53 2605056 # ['s_suppkey']
;

set combi[0]:= ;
set combi[1]:= 42;
set combi[2]:= 4;
set combi[3]:= 51;
set combi[4]:= 13;
set combi[5]:= 1;
set combi[6]:= 40;
set combi[7]:= 27;
set combi[8]:= 38;
set combi[9]:= 35;
set combi[10]:= 53;
set combi[11]:= 15;
set combi[12]:= 21;
set combi[13]:= 18;
set combi[14]:= 14;
set combi[15]:= 39;
set combi[16]:= 44;
set combi[17]:= 34;
set combi[18]:= 43;
set combi[19]:= 37;
