#183
#183
# what-if time: 2.857743978500366
# cost_requests: 9944	cache_hits: 6806
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 39190528 # ['c_custkey']
3 1567383552 # ['l_orderkey']
4 1567383552 # ['l_partkey']
5 1645748224 # ['l_quantity']
6 1567383552 # ['l_shipdate']
7 1567383552 # ['l_suppkey']
8 8192 # ['n_nationkey']
9 391872512 # ['o_custkey']
10 391872512 # ['o_orderkey']
11 70541312 # ['p_brand']
12 70541312 # ['p_container']
13 128024576 # ['p_name']
14 52256768 # ['p_partkey']
15 52256768 # ['p_size']
16 96673792 # ['p_type']
17 209100800 # ['ps_partkey']
18 209100800 # ['ps_suppkey']
19 230014976 # ['ps_supplycost']
20 2605056 # ['s_nationkey']
21 2605056 # ['s_suppkey']
22 76414976 # ['c_mktsegment', 'c_custkey']
23 62701568 # ['c_nationkey', 'c_custkey']
24 2507808768 # ['l_commitdate', 'l_orderkey']
25 2507808768 # ['l_commitdate', 'l_partkey']
26 2507808768 # ['l_commitdate', 'l_suppkey']
27 2507808768 # ['l_discount', 'l_orderkey']
28 2507808768 # ['l_discount', 'l_partkey']
29 2507808768 # ['l_discount', 'l_suppkey']
30 2821283840 # ['l_extendedprice', 'l_orderkey']
31 2821283840 # ['l_extendedprice', 'l_partkey']
32 2821283840 # ['l_extendedprice', 'l_suppkey']
33 2351071232 # ['l_linestatus', 'l_orderkey']
34 2351071232 # ['l_linestatus', 'l_partkey']
35 2429444096 # ['l_linestatus', 'l_quantity']
36 2351071232 # ['l_linestatus', 'l_suppkey']
37 2507808768 # ['l_orderkey', 'l_commitdate']
38 2507808768 # ['l_orderkey', 'l_discount']
39 2821283840 # ['l_orderkey', 'l_extendedprice']
40 2351071232 # ['l_orderkey', 'l_linestatus']
41 2507808768 # ['l_orderkey', 'l_partkey']
42 2586181632 # ['l_orderkey', 'l_quantity']
43 2507808768 # ['l_orderkey', 'l_receiptdate']
44 2351071232 # ['l_orderkey', 'l_returnflag']
45 2507808768 # ['l_orderkey', 'l_shipdate']
46 4231929856 # ['l_orderkey', 'l_shipinstruct']
47 3056394240 # ['l_orderkey', 'l_shipmode']
48 2507808768 # ['l_orderkey', 'l_suppkey']
49 2507808768 # ['l_orderkey', 'l_tax']
50 2507808768 # ['l_partkey', 'l_commitdate']
