#51
#623
# what-if time: 2.051170825958252
# cost_requests: 25213	cache_hits: 24040
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 80338944 # ['c_address']
3 174399488 # ['c_comment']
4 39190528 # ['c_custkey']
5 52903936 # ['c_mktsegment']
6 68583424 # ['c_name']
7 39190528 # ['c_nationkey']
8 62701568 # ['c_phone']
9 1567293440 # ['l_commitdate']
10 1567293440 # ['l_discount']
11 1880752128 # ['l_extendedprice']
12 1410564096 # ['l_linestatus']
13 1567293440 # ['l_orderkey']
14 1567293440 # ['l_partkey']
15 1645658112 # ['l_quantity']
16 1567293440 # ['l_receiptdate']
17 1410564096 # ['l_returnflag']
18 1567293440 # ['l_shipdate']
19 3291316224 # ['l_shipinstruct']
20 2115846144 # ['l_shipmode']
21 1567293440 # ['l_suppkey']
22 1567293440 # ['l_tax']
23 8192 # ['n_name']
24 8192 # ['n_nationkey']
25 8192 # ['n_regionkey']
26 1273733120 # ['o_comment']
27 391913472 # ['o_custkey']
28 391913472 # ['o_orderdate']
29 391913472 # ['o_orderkey']
30 627064832 # ['o_orderpriority']
31 352722944 # ['o_orderstatus']
32 391913472 # ['o_shippriority']
33 470294528 # ['o_totalprice']
34 70541312 # ['p_brand']
35 70541312 # ['p_container']
36 128024576 # ['p_name']
37 52248576 # ['p_partkey']
38 52248576 # ['p_size']
39 96665600 # ['p_type']
40 209059840 # ['ps_availqty']
41 209059840 # ['ps_partkey']
42 209059840 # ['ps_suppkey']
43 229974016 # ['ps_supplycost']
44 8192 # ['r_name']
45 8192 # ['r_regionkey']
46 5480448 # ['s_address']
47 10313728 # ['s_comment']
48 5480448 # ['s_name']
49 2605056 # ['s_nationkey']
50 4177920 # ['s_phone']
51 2605056 # ['s_suppkey']
;

set combi[0]:= ;
set combi[1]:= 38;
set combi[2]:= 34;
set combi[3]:= 27;
set combi[4]:= 18;
set combi[5]:= 13;
set combi[6]:= 35;
set combi[7]:= 51;
set combi[8]:= 39;
set combi[9]:= 4;
set combi[10]:= 29;
set combi[11]:= 49;
set combi[12]:= 1;
set combi[13]:= 42;
set combi[14]:= 14;
set combi[15]:= 38 25;
set combi[16]:= 38 37;
set combi[17]:= 38 34;
set combi[18]:= 38 27;
set combi[19]:= 38 18;
set combi[20]:= 38 48;
set combi[21]:= 38 13;
set combi[22]:= 38 40;
set combi[23]:= 38 24;
set combi[24]:= 38 7;
set combi[25]:= 38 43;
set combi[26]:= 38 19;
set combi[27]:= 38 35;
set combi[28]:= 38 26;
set combi[29]:= 38 46;
set combi[30]:= 38 51;
set combi[31]:= 38 5;
set combi[32]:= 38 28;
