#109
#109
# what-if time: 3.8526148796081543
# cost_requests: 8094	cache_hits: 5433
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 39190528 # ['c_custkey']
3 1567326208 # ['l_orderkey']
4 1567326208 # ['l_partkey']
5 1567326208 # ['l_shipdate']
6 391897088 # ['o_custkey']
7 391897088 # ['o_orderkey']
8 70541312 # ['p_brand']
9 70541312 # ['p_container']
10 52248576 # ['p_size']
11 96665600 # ['p_type']
12 209076224 # ['ps_suppkey']
13 2605056 # ['s_nationkey']
14 2605056 # ['s_suppkey']
15 76414976 # ['c_mktsegment', 'c_custkey']
16 62701568 # ['c_nationkey', 'c_custkey']
17 2507726848 # ['l_commitdate', 'l_orderkey']
18 2507726848 # ['l_discount', 'l_orderkey']
19 2821193728 # ['l_extendedprice', 'l_orderkey']
20 2350997504 # ['l_linestatus', 'l_orderkey']
21 2507726848 # ['l_orderkey', 'l_commitdate']
22 2507726848 # ['l_orderkey', 'l_discount']
23 2821193728 # ['l_orderkey', 'l_extendedprice']
24 2350997504 # ['l_orderkey', 'l_linestatus']
25 2507726848 # ['l_orderkey', 'l_partkey']
26 2586099712 # ['l_orderkey', 'l_quantity']
27 2507726848 # ['l_orderkey', 'l_receiptdate']
28 2350997504 # ['l_orderkey', 'l_returnflag']
29 2507726848 # ['l_orderkey', 'l_shipdate']
30 4231798784 # ['l_orderkey', 'l_shipinstruct']
31 3056295936 # ['l_orderkey', 'l_shipmode']
32 2507726848 # ['l_orderkey', 'l_suppkey']
33 2507726848 # ['l_orderkey', 'l_tax']
34 2507726848 # ['l_partkey', 'l_commitdate']
35 2507726848 # ['l_partkey', 'l_discount']
36 2821193728 # ['l_partkey', 'l_extendedprice']
37 2350997504 # ['l_partkey', 'l_linestatus']
38 2507726848 # ['l_partkey', 'l_orderkey']
39 2586099712 # ['l_partkey', 'l_quantity']
40 2507726848 # ['l_partkey', 'l_receiptdate']
41 2350997504 # ['l_partkey', 'l_returnflag']
42 2507726848 # ['l_partkey', 'l_shipdate']
43 4231798784 # ['l_partkey', 'l_shipinstruct']
44 3056295936 # ['l_partkey', 'l_shipmode']
45 2507726848 # ['l_partkey', 'l_suppkey']
46 2507726848 # ['l_partkey', 'l_tax']
47 2586099712 # ['l_quantity', 'l_orderkey']
48 2507726848 # ['l_receiptdate', 'l_orderkey']
49 2350997504 # ['l_returnflag', 'l_orderkey']
50 2507726848 # ['l_shipdate', 'l_commitdate']
51 2507726848 # ['l_shipdate', 'l_discount']
52 2821193728 # ['l_shipdate', 'l_extendedprice']
53 2350997504 # ['l_shipdate', 'l_linestatus']
54 2507726848 # ['l_shipdate', 'l_orderkey']
55 2507726848 # ['l_shipdate', 'l_partkey']
56 2586099712 # ['l_shipdate', 'l_quantity']
57 2507726848 # ['l_shipdate', 'l_receiptdate']
58 2350997504 # ['l_shipdate', 'l_returnflag']
59 4231798784 # ['l_shipdate', 'l_shipinstruct']
60 3056295936 # ['l_shipdate', 'l_shipmode']
61 2507726848 # ['l_shipdate', 'l_suppkey']
62 2507726848 # ['l_shipdate', 'l_tax']
63 4231798784 # ['l_shipinstruct', 'l_partkey']
64 3056295936 # ['l_shipmode', 'l_partkey']
65 2507726848 # ['l_suppkey', 'l_orderkey']
66 2507726848 # ['l_suppkey', 'l_partkey']
67 2507726848 # ['l_tax', 'l_orderkey']
68 1508827136 # ['o_custkey', 'o_comment']
69 627040256 # ['o_custkey', 'o_orderdate']
70 627040256 # ['o_custkey', 'o_orderkey']
71 862183424 # ['o_custkey', 'o_orderpriority']
72 587849728 # ['o_custkey', 'o_orderstatus']
73 627040256 # ['o_custkey', 'o_shippriority']
74 705421312 # ['o_custkey', 'o_totalprice']
75 1508827136 # ['o_orderkey', 'o_comment']
76 627040256 # ['o_orderkey', 'o_custkey']
77 627040256 # ['o_orderkey', 'o_orderdate']
78 862183424 # ['o_orderkey', 'o_orderpriority']
79 587849728 # ['o_orderkey', 'o_orderstatus']
80 627040256 # ['o_orderkey', 'o_shippriority']
81 705421312 # ['o_orderkey', 'o_totalprice']
82 587849728 # ['o_orderstatus', 'o_orderkey']
83 120176640 # ['p_brand', 'p_container']
84 177659904 # ['p_brand', 'p_name']
85 101892096 # ['p_brand', 'p_partkey']
86 101892096 # ['p_brand', 'p_size']
87 146309120 # ['p_brand', 'p_type']
88 120176640 # ['p_container', 'p_brand']
89 101892096 # ['p_container', 'p_partkey']
90 101892096 # ['p_container', 'p_size']
91 101892096 # ['p_size', 'p_brand']
92 101892096 # ['p_size', 'p_container']
93 159367168 # ['p_size', 'p_name']
94 83599360 # ['p_size', 'p_partkey']
95 128016384 # ['p_size', 'p_type']
96 146309120 # ['p_type', 'p_brand']
97 146309120 # ['p_type', 'p_container']
98 203784192 # ['p_type', 'p_name']
99 128016384 # ['p_type', 'p_partkey']
100 128016384 # ['p_type', 'p_size']
101 334528512 # ['ps_suppkey', 'ps_availqty']
102 334528512 # ['ps_suppkey', 'ps_partkey']
103 355434496 # ['ps_suppkey', 'ps_supplycost']
104 4177920 # ['s_nationkey', 's_suppkey']
105 6922240 # ['s_suppkey', 's_address']
106 11886592 # ['s_suppkey', 's_comment']
107 7053312 # ['s_suppkey', 's_name']
108 4177920 # ['s_suppkey', 's_nationkey']
109 5742592 # ['s_suppkey', 's_phone']
;

set combi[0]:= ;
set combi[1]:= 10;
set combi[2]:= 28;
set combi[3]:= 14;
set combi[4]:= 37;
set combi[5]:= 96;
set combi[6]:= 72;
set combi[7]:= 80;
set combi[8]:= 58;
set combi[9]:= 97;
set combi[10]:= 20;
set combi[11]:= 23;
set combi[12]:= 108;
set combi[13]:= 85;
set combi[14]:= 104;
set combi[15]:= 6;
set combi[16]:= 34;
set combi[17]:= 24;
set combi[18]:= 19;
set combi[19]:= 49;
set combi[20]:= 15;
set combi[21]:= 84;
set combi[22]:= 94;
set combi[23]:= 35;
set combi[24]:= 54;
set combi[25]:= 4;
set combi[26]:= 43;
set combi[27]:= 39;
set combi[28]:= 45;
set combi[29]:= 71;
set combi[30]:= 57;
set combi[31]:= 99;
set combi[32]:= 77;
set combi[33]:= 93;
set combi[34]:= 109;
set combi[35]:= 63;
set combi[36]:= 32;
set combi[37]:= 5;
set combi[38]:= 46;
set combi[39]:= 13;
set combi[40]:= 29;
set combi[41]:= 100;
set combi[42]:= 52;
set combi[43]:= 44;
set combi[44]:= 65;
set combi[45]:= 105;
set combi[46]:= 11;
set combi[47]:= 40;
set combi[48]:= 16;
set combi[49]:= 81;
set combi[50]:= 64;
set combi[51]:= 88;
set combi[52]:= 75;
set combi[53]:= 53;
set combi[54]:= 18;
set combi[55]:= 103;
set combi[56]:= 31;
set combi[57]:= 41;
