#425
#41373
# what-if time: 276.9609661102295
# cost_requests: 1719994	cache_hits: 1503891
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 80330752 # ['c_address']
3 174383104 # ['c_comment']
4 39182336 # ['c_custkey']
5 52895744 # ['c_mktsegment']
6 68575232 # ['c_name']
7 39182336 # ['c_nationkey']
8 62693376 # ['c_phone']
9 1567334400 # ['l_commitdate']
10 1567334400 # ['l_discount']
11 1880809472 # ['l_extendedprice']
12 1410605056 # ['l_linestatus']
13 1567334400 # ['l_orderkey']
14 1567334400 # ['l_partkey']
15 1645707264 # ['l_quantity']
16 1567334400 # ['l_receiptdate']
17 1410605056 # ['l_returnflag']
18 1567334400 # ['l_shipdate']
19 3291414528 # ['l_shipinstruct']
20 2115903488 # ['l_shipmode']
21 1567334400 # ['l_suppkey']
22 1567334400 # ['l_tax']
23 8192 # ['n_name']
24 8192 # ['n_nationkey']
25 8192 # ['n_regionkey']
26 1273700352 # ['o_comment']
27 391905280 # ['o_custkey']
28 391905280 # ['o_orderdate']
29 391905280 # ['o_orderkey']
30 627048448 # ['o_orderpriority']
31 352714752 # ['o_orderstatus']
32 391905280 # ['o_shippriority']
33 470286336 # ['o_totalprice']
34 70541312 # ['p_brand']
35 70541312 # ['p_container']
36 128024576 # ['p_name']
37 52248576 # ['p_partkey']
38 52248576 # ['p_size']
39 96665600 # ['p_type']
40 209133568 # ['ps_availqty']
41 209133568 # ['ps_partkey']
42 209133568 # ['ps_suppkey']
43 230047744 # ['ps_supplycost']
44 8192 # ['r_name']
45 8192 # ['r_regionkey']
46 5349376 # ['s_address']
47 10313728 # ['s_comment']
48 5480448 # ['s_name']
49 2605056 # ['s_nationkey']
50 4177920 # ['s_phone']
51 2605056 # ['s_suppkey']
52 107765760 # ['c_acctbal', 'c_address']
53 201809920 # ['c_acctbal', 'c_comment']
54 66617344 # ['c_acctbal', 'c_custkey']
55 80330752 # ['c_acctbal', 'c_mktsegment']
56 96002048 # ['c_acctbal', 'c_name']
57 66617344 # ['c_acctbal', 'c_nationkey']
58 90128384 # ['c_acctbal', 'c_phone']
59 107765760 # ['c_address', 'c_acctbal']
60 239042560 # ['c_address', 'c_comment']
61 103841792 # ['c_address', 'c_custkey']
62 117555200 # ['c_address', 'c_mktsegment']
63 133234688 # ['c_address', 'c_name']
64 103841792 # ['c_address', 'c_nationkey']
65 127352832 # ['c_address', 'c_phone']
66 201809920 # ['c_comment', 'c_acctbal']
67 239042560 # ['c_comment', 'c_address']
68 197894144 # ['c_comment', 'c_custkey']
69 211607552 # ['c_comment', 'c_mktsegment']
70 227287040 # ['c_comment', 'c_name']
71 197894144 # ['c_comment', 'c_nationkey']
72 221405184 # ['c_comment', 'c_phone']
73 66617344 # ['c_custkey', 'c_acctbal']
74 103841792 # ['c_custkey', 'c_address']
75 197894144 # ['c_custkey', 'c_comment']
76 76414976 # ['c_custkey', 'c_mktsegment']
77 92086272 # ['c_custkey', 'c_name']
78 62693376 # ['c_custkey', 'c_nationkey']
79 86212608 # ['c_custkey', 'c_phone']
80 80330752 # ['c_mktsegment', 'c_acctbal']
81 117555200 # ['c_mktsegment', 'c_address']
82 211607552 # ['c_mktsegment', 'c_comment']
83 76414976 # ['c_mktsegment', 'c_custkey']
84 105799680 # ['c_mktsegment', 'c_name']
85 76414976 # ['c_mktsegment', 'c_nationkey']
86 99926016 # ['c_mktsegment', 'c_phone']
87 96002048 # ['c_name', 'c_acctbal']
88 133234688 # ['c_name', 'c_address']
89 227287040 # ['c_name', 'c_comment']
90 92086272 # ['c_name', 'c_custkey']
91 105799680 # ['c_name', 'c_mktsegment']
92 92086272 # ['c_name', 'c_nationkey']
93 115597312 # ['c_name', 'c_phone']
94 66617344 # ['c_nationkey', 'c_acctbal']
95 103841792 # ['c_nationkey', 'c_address']
96 197894144 # ['c_nationkey', 'c_comment']
97 62693376 # ['c_nationkey', 'c_custkey']
98 76414976 # ['c_nationkey', 'c_mktsegment']
99 92086272 # ['c_nationkey', 'c_name']
100 86212608 # ['c_nationkey', 'c_phone']
101 90128384 # ['c_phone', 'c_acctbal']
102 127352832 # ['c_phone', 'c_address']
103 221405184 # ['c_phone', 'c_comment']
104 86212608 # ['c_phone', 'c_custkey']
105 99926016 # ['c_phone', 'c_mktsegment']
106 115597312 # ['c_phone', 'c_name']
107 86212608 # ['c_phone', 'c_nationkey']
108 2507743232 # ['l_commitdate', 'l_discount']
109 2821210112 # ['l_commitdate', 'l_extendedprice']
110 2351005696 # ['l_commitdate', 'l_linestatus']
111 2507743232 # ['l_commitdate', 'l_orderkey']
112 2507743232 # ['l_commitdate', 'l_partkey']
113 2586107904 # ['l_commitdate', 'l_quantity']
114 2507743232 # ['l_commitdate', 'l_receiptdate']
115 2351005696 # ['l_commitdate', 'l_returnflag']
116 2507743232 # ['l_commitdate', 'l_shipdate']
117 4231815168 # ['l_commitdate', 'l_shipinstruct']
118 3056312320 # ['l_commitdate', 'l_shipmode']
119 2507743232 # ['l_commitdate', 'l_suppkey']
120 2507743232 # ['l_commitdate', 'l_tax']
121 2507743232 # ['l_discount', 'l_commitdate']
122 2821210112 # ['l_discount', 'l_extendedprice']
123 2351005696 # ['l_discount', 'l_linestatus']
124 2507743232 # ['l_discount', 'l_orderkey']
125 2507743232 # ['l_discount', 'l_partkey']
126 2586107904 # ['l_discount', 'l_quantity']
127 2507743232 # ['l_discount', 'l_receiptdate']
128 2351005696 # ['l_discount', 'l_returnflag']
129 2507743232 # ['l_discount', 'l_shipdate']
130 4231815168 # ['l_discount', 'l_shipinstruct']
131 3056312320 # ['l_discount', 'l_shipmode']
132 2507743232 # ['l_discount', 'l_suppkey']
133 2507743232 # ['l_discount', 'l_tax']
134 2821210112 # ['l_extendedprice', 'l_commitdate']
135 2821210112 # ['l_extendedprice', 'l_discount']
136 2664472576 # ['l_extendedprice', 'l_linestatus']
137 2821210112 # ['l_extendedprice', 'l_orderkey']
138 2821210112 # ['l_extendedprice', 'l_partkey']
139 2899574784 # ['l_extendedprice', 'l_quantity']
140 2821210112 # ['l_extendedprice', 'l_receiptdate']
141 2664472576 # ['l_extendedprice', 'l_returnflag']
142 2821210112 # ['l_extendedprice', 'l_shipdate']
143 4545282048 # ['l_extendedprice', 'l_shipinstruct']
144 3369779200 # ['l_extendedprice', 'l_shipmode']
145 2821210112 # ['l_extendedprice', 'l_suppkey']
146 2821210112 # ['l_extendedprice', 'l_tax']
147 2351005696 # ['l_linestatus', 'l_commitdate']
148 2351005696 # ['l_linestatus', 'l_discount']
149 2664472576 # ['l_linestatus', 'l_extendedprice']
150 2351005696 # ['l_linestatus', 'l_orderkey']
151 2351005696 # ['l_linestatus', 'l_partkey']
152 2429378560 # ['l_linestatus', 'l_quantity']
153 2351005696 # ['l_linestatus', 'l_receiptdate']
154 2194276352 # ['l_linestatus', 'l_returnflag']
155 2351005696 # ['l_linestatus', 'l_shipdate']
156 4075085824 # ['l_linestatus', 'l_shipinstruct']
157 2899574784 # ['l_linestatus', 'l_shipmode']
158 2351005696 # ['l_linestatus', 'l_suppkey']
159 2351005696 # ['l_linestatus', 'l_tax']
160 2507743232 # ['l_orderkey', 'l_commitdate']
161 2507743232 # ['l_orderkey', 'l_discount']
162 2821210112 # ['l_orderkey', 'l_extendedprice']
163 2351005696 # ['l_orderkey', 'l_linestatus']
164 2507743232 # ['l_orderkey', 'l_partkey']
165 2586107904 # ['l_orderkey', 'l_quantity']
166 2507743232 # ['l_orderkey', 'l_receiptdate']
167 2351005696 # ['l_orderkey', 'l_returnflag']
168 2507743232 # ['l_orderkey', 'l_shipdate']
169 4231815168 # ['l_orderkey', 'l_shipinstruct']
170 3056312320 # ['l_orderkey', 'l_shipmode']
171 2507743232 # ['l_orderkey', 'l_suppkey']
172 2507743232 # ['l_orderkey', 'l_tax']
173 2507743232 # ['l_partkey', 'l_commitdate']
174 2507743232 # ['l_partkey', 'l_discount']
175 2821210112 # ['l_partkey', 'l_extendedprice']
176 2351005696 # ['l_partkey', 'l_linestatus']
177 2507743232 # ['l_partkey', 'l_orderkey']
178 2586107904 # ['l_partkey', 'l_quantity']
179 2507743232 # ['l_partkey', 'l_receiptdate']
180 2351005696 # ['l_partkey', 'l_returnflag']
181 2507743232 # ['l_partkey', 'l_shipdate']
182 4231815168 # ['l_partkey', 'l_shipinstruct']
183 3056312320 # ['l_partkey', 'l_shipmode']
184 2507743232 # ['l_partkey', 'l_suppkey']
185 2507743232 # ['l_partkey', 'l_tax']
186 2586107904 # ['l_quantity', 'l_commitdate']
187 2586107904 # ['l_quantity', 'l_discount']
188 2899574784 # ['l_quantity', 'l_extendedprice']
189 2429378560 # ['l_quantity', 'l_linestatus']
190 2586107904 # ['l_quantity', 'l_orderkey']
191 2586107904 # ['l_quantity', 'l_partkey']
192 2586107904 # ['l_quantity', 'l_receiptdate']
193 2429378560 # ['l_quantity', 'l_returnflag']
194 2586107904 # ['l_quantity', 'l_shipdate']
195 4310188032 # ['l_quantity', 'l_shipinstruct']
196 3134676992 # ['l_quantity', 'l_shipmode']
197 2586107904 # ['l_quantity', 'l_suppkey']
198 2586107904 # ['l_quantity', 'l_tax']
199 2507743232 # ['l_receiptdate', 'l_commitdate']
200 2507743232 # ['l_receiptdate', 'l_discount']
201 2821210112 # ['l_receiptdate', 'l_extendedprice']
202 2351005696 # ['l_receiptdate', 'l_linestatus']
203 2507743232 # ['l_receiptdate', 'l_orderkey']
204 2507743232 # ['l_receiptdate', 'l_partkey']
205 2586107904 # ['l_receiptdate', 'l_quantity']
206 2351005696 # ['l_receiptdate', 'l_returnflag']
207 2507743232 # ['l_receiptdate', 'l_shipdate']
208 4231815168 # ['l_receiptdate', 'l_shipinstruct']
209 3056312320 # ['l_receiptdate', 'l_shipmode']
210 2507743232 # ['l_receiptdate', 'l_suppkey']
211 2507743232 # ['l_receiptdate', 'l_tax']
212 2351005696 # ['l_returnflag', 'l_commitdate']
213 2351005696 # ['l_returnflag', 'l_discount']
214 2664472576 # ['l_returnflag', 'l_extendedprice']
215 2194276352 # ['l_returnflag', 'l_linestatus']
216 2351005696 # ['l_returnflag', 'l_orderkey']
217 2351005696 # ['l_returnflag', 'l_partkey']
218 2429378560 # ['l_returnflag', 'l_quantity']
219 2351005696 # ['l_returnflag', 'l_receiptdate']
220 2351005696 # ['l_returnflag', 'l_shipdate']
221 4075085824 # ['l_returnflag', 'l_shipinstruct']
222 2899574784 # ['l_returnflag', 'l_shipmode']
223 2351005696 # ['l_returnflag', 'l_suppkey']
224 2351005696 # ['l_returnflag', 'l_tax']
225 2507743232 # ['l_shipdate', 'l_commitdate']
226 2507743232 # ['l_shipdate', 'l_discount']
